Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,154.087,154.611,152.761,153.925,691300,0.0,0.0
2017-01-04,153.718,156.244,153.718,155.188,641700,0.0,0.0
2017-01-05,154.169,156.145,153.591,155.08,861000,0.0,0.0
2017-01-06,154.575,155.179,152.752,153.05,828000,0.0,0.0
2017-01-09,153.438,153.636,151.868,152.96,560100,0.0,0.0
2017-01-10,152.211,155.116,152.148,153.312,621200,0.0,0.0
2017-01-11,156.551,157.886,154.214,156.478,889000,0.0,0.0
2017-01-12,155.567,157.543,155.188,157.417,747400,0.0,0.0
2017-01-13,157.372,158.671,156.56,157.706,1196200,0.0,0.0
2017-01-17,157.3,160.151,156.036,156.09,1048900,0.0,0.0
2017-01-18,156.1,157.155,154.972,156.975,791400,0.0,0.0
2017-01-19,157.182,157.733,154.485,154.936,606300,0.0,0.0
2017-01-20,155.405,156.009,153.754,154.737,731300,0.0,0.0
2017-01-23,150.749,152.148,148.214,151.381,1416800,0.0,0.0
2017-01-24,152.301,154.268,151.381,151.841,882400,0.0,0.0
2017-01-25,152.842,153.663,150.677,151.128,969100,0.0,0.0
2017-01-26,151.354,152.86,149.179,149.324,1301600,0.0,0.0
2017-01-27,149.91,150.027,147.916,148.304,768500,0.0,0.0
2017-01-30,149.188,149.188,146.969,148.539,727000,0.0,0.0
2017-01-31,146.527,148.584,146.409,148.187,1056000,0.0,0.0
2017-02-01,147.988,148.773,144.09,144.893,1594900,0.0,0.0
2017-02-02,144.442,147.113,144.361,146.472,1485400,0.0,0.0
2017-02-03,147.05,147.7,146.094,146.842,850400,0.0,0.0
2017-02-06,145.922,147.095,144.298,144.605,944700,0.0,0.0
2017-02-07,145.453,146.22,142.358,143.621,1191300,0.0,0.0
2017-02-08,142.818,147.654,142.791,146.824,1921800,0.0,0.0
2017-02-09,146.4,149.026,145.543,148.719,1102000,0.0,0.0
2017-02-10,149.08,149.657,147.239,148.015,734900,0.0,0.0
2017-02-13,148.872,148.872,146.301,146.518,986200,0.0,0.0
2017-02-14,146.518,148.683,146.03,148.304,935300,0.0,0.0
2017-02-15,147.33,149.143,147.077,147.862,694700,0.0,0.0
2017-02-16,148.16,148.385,144.65,145.254,1357800,0.0,0.0
2017-02-17,144.912,146.057,144.136,145.787,1561300,0.0,0.0
2017-02-21,148.421,152.978,144.984,145.399,3286400,0.0,0.0
2017-02-22,145.029,146.157,140.094,144.072,3442900,0.0,0.0
2017-02-23,143.829,144.054,141.348,142.304,1395800,0.0,0.0
2017-02-24,141.167,142.764,140.256,141.952,1599600,0.0,0.0
2017-02-27,141.519,142.006,140.175,141.6,1443300,0.0,0.0
2017-02-28,140.427,143.179,140.012,141.303,1087300,0.0,0.0
2017-03-01,143.089,143.089,140.427,141.366,1037800,0.0,0.0
2017-03-02,141.366,142.638,141.158,141.979,1158100,0.0,0.0
2017-03-03,141.925,142.683,139.218,140.166,1252000,0.0,0.0
2017-03-06,140.166,140.842,139.119,139.173,1057600,0.0,0.0
2017-03-07,139.182,139.669,136.8,137.134,1102700,0.0,0.0
2017-03-08,138.506,140.518,137.883,140.039,1415600,0.0,0.0
2017-03-09,139.823,140.283,139.137,139.985,1024600,0.0,0.0
2017-03-10,140.319,140.581,138.397,138.921,1064500,0.0,0.0
2017-03-13,137.829,139.814,137.134,139.263,978900,0.0,0.0
2017-03-14,139.218,139.525,137.955,138.686,896600,0.0,0.0
2017-03-15,138.569,138.587,136.376,137.973,1593700,0.0,0.0
2017-03-16,137.811,138.74,136.99,138.415,583400,0.0,0.0
2017-03-17,137.522,138.271,136.151,137.504,1134600,0.0,0.0
2017-03-20,138.0,139.155,137.017,137.54,1051400,0.0,0.0
2017-03-21,137.63,137.892,135.916,136.439,1061900,0.0,0.0
2017-03-22,136.836,137.252,135.808,136.539,661400,0.06,0.0
2017-03-23,136.566,137.541,135.501,136.096,653100,0.0,0.0
2017-03-24,136.096,136.295,134.806,135.149,615600,0.0,0.0
2017-03-27,134.038,134.282,131.944,133.407,769900,0.0,0.0
2017-03-28,132.856,134.381,132.107,133.912,1118600,0.0,0.0
2017-03-29,134.138,135.456,133.235,135.094,738800,0.0,0.0
2017-03-30,134.706,135.067,133.903,134.192,699600,0.0,0.0
2017-03-31,133.822,134.851,133.027,133.822,981800,0.0,0.0
2017-04-03,133.948,134.67,129.579,131.331,2029800,0.0,0.0
2017-04-04,130.816,131.078,128.776,129.11,1072000,0.0,0.0
2017-04-05,129.76,130.599,128.659,128.839,741500,0.0,0.0
2017-04-06,129.751,130.563,128.496,128.677,765100,0.0,0.0
2017-04-07,128.632,129.561,128.108,128.217,928100,0.0,0.0
2017-04-10,128.063,129.76,128.054,128.93,739400,0.0,0.0
2017-04-11,128.614,129.904,127.711,129.489,763700,0.0,0.0
2017-04-12,128.993,128.993,127.332,127.937,596100,0.0,0.0
2017-04-13,128.099,128.93,127.17,127.17,476100,0.0,0.0
2017-04-17,127.503,127.702,126.502,127.124,645900,0.0,0.0
2017-04-18,126.664,127.81,126.664,127.188,646400,0.0,0.0
2017-04-19,127.747,130.672,127.747,128.551,1230100,0.0,0.0
2017-04-20,129.579,132.522,129.155,132.287,1278900,0.0,0.0
2017-04-21,132.206,132.703,130.906,132.54,1021600,0.0,0.0
2017-04-24,133.479,133.903,131.71,132.775,905200,0.0,0.0
2017-04-25,132.684,132.684,130.157,131.484,1030400,0.0,0.0
2017-04-26,132.044,132.603,131.24,131.583,1112900,0.0,0.0
2017-04-27,131.556,133.84,127.233,129.246,2079700,0.0,0.0
2017-04-28,129.047,129.047,126.474,128.298,1458400,0.0,0.0
2017-05-01,129.209,129.209,126.691,126.845,922500,0.0,0.0
2017-05-02,126.763,128.776,126.249,128.668,806400,0.0,0.0
2017-05-03,128.614,129.462,128.135,128.912,545300,0.0,0.0
2017-05-04,128.812,130.834,128.812,130.708,595900,0.0,0.0
2017-05-05,130.861,130.897,129.616,130.861,617500,0.0,0.0
2017-05-08,131.033,132.739,130.663,132.657,838200,0.0,0.0
2017-05-09,132.513,132.784,130.69,131.89,807800,0.0,0.0
2017-05-10,131.628,132.017,131.015,131.926,383800,0.0,0.0
2017-05-11,131.322,131.935,129.101,131.737,773000,0.0,0.0
2017-05-12,131.565,131.565,130.329,130.897,593200,0.0,0.0
2017-05-15,130.572,132.82,130.419,131.646,1097700,0.0,0.0
2017-05-16,132.369,132.369,128.271,131.105,2319800,0.0,0.0
2017-05-17,131.105,131.105,128.975,130.482,1205600,0.0,0.0
2017-05-18,130.636,134.634,130.446,134.047,1581100,0.0,0.0
2017-05-19,134.354,136.945,133.506,136.719,1617200,0.0,0.0
2017-05-22,136.205,136.611,132.865,133.018,1921500,0.0,0.0
2017-05-23,125.599,129.823,125.59,126.962,3897500,0.0,0.0
2017-05-24,118.829,122.665,118.513,120.066,5963900,0.0,0.0
2017-05-25,120.048,121.014,116.798,119.118,3933600,0.0,0.0
