Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,28.788,29.397,28.504,28.894,3218900,0.0,0.0
2017-01-04,28.886,29.359,28.739,29.114,2481400,0.19,0.0
2017-01-05,29.122,29.261,28.73,28.877,1875500,0.0,0.0
2017-01-06,28.877,29.163,28.714,28.771,1711800,0.0,0.0
2017-01-09,28.845,28.967,28.69,28.771,2140700,0.0,0.0
2017-01-10,28.812,29.171,28.714,28.788,3026000,0.0,0.0
2017-01-11,28.788,29.302,28.788,29.114,3006100,0.0,0.0
2017-01-12,29.008,29.302,28.649,29.245,2069800,0.0,0.0
2017-01-13,29.245,29.49,29.229,29.343,1250800,0.0,0.0
2017-01-17,29.024,29.376,28.959,29.041,1329000,0.0,0.0
2017-01-18,29.155,29.4,28.918,29.392,1313200,0.0,0.0
2017-01-19,29.31,29.555,29.082,29.261,2625900,0.0,0.0
2017-01-20,29.31,29.808,29.269,29.702,2358900,0.0,0.0
2017-01-23,29.645,29.8,29.212,29.539,2761700,0.0,0.0
2017-01-24,29.645,30.756,29.596,30.641,3172300,0.0,0.0
2017-01-25,30.976,31.442,30.846,30.993,3174400,0.0,0.0
2017-01-26,31.05,31.14,30.421,30.707,2144000,0.0,0.0
2017-01-27,30.797,30.927,30.462,30.837,1915500,0.0,0.0
2017-01-30,31.442,31.826,30.927,31.091,3516700,0.0,0.0
2017-01-31,30.911,31.376,30.609,31.295,2377800,0.0,0.0
2017-02-01,31.483,31.605,30.952,31.074,1892000,0.0,0.0
2017-02-02,30.944,31.327,30.69,31.229,1564800,0.0,0.0
2017-02-03,31.295,31.45,31.115,31.262,1458800,0.0,0.0
2017-02-06,31.18,31.548,31.14,31.327,2583700,0.0,0.0
2017-02-07,31.442,31.744,31.393,31.711,2459100,0.0,0.0
2017-02-08,31.613,31.85,31.385,31.817,2152600,0.0,0.0
2017-02-09,31.768,32.34,31.662,32.103,3378400,0.0,0.0
2017-02-10,32.201,32.438,31.826,32.218,2835500,0.0,0.0
2017-02-13,32.348,32.536,32.25,32.324,2844500,0.0,0.0
2017-02-14,32.585,32.585,32.144,32.275,2930400,0.0,0.0
2017-02-15,32.144,32.258,31.728,31.793,4894400,0.0,0.0
2017-02-16,33.32,34.447,32.961,33.124,8173100,0.0,0.0
2017-02-17,32.912,33.467,32.675,32.806,3930100,0.0,0.0
2017-02-21,32.797,33.222,32.757,33.091,3000600,0.0,0.0
2017-02-22,32.993,33.296,32.928,33.238,2839500,0.0,0.0
2017-02-23,33.32,33.573,33.034,33.434,3177000,0.0,0.0
2017-02-24,33.206,33.524,33.051,33.443,3146100,0.0,0.0
2017-02-27,33.377,33.794,33.296,33.704,3203100,0.0,0.0
2017-02-28,33.786,34.267,33.72,34.161,4647800,0.0,0.0
2017-03-01,34.316,35.231,34.161,35.125,4715100,0.0,0.0
2017-03-02,35.223,35.231,34.504,34.512,4062900,0.0,0.0
2017-03-03,34.57,34.978,34.496,34.953,2572200,0.0,0.0
2017-03-06,34.774,34.872,34.504,34.766,2283200,0.0,0.0
2017-03-07,34.651,35.182,34.586,34.839,3476800,0.0,0.0
2017-03-08,34.831,34.978,34.398,34.423,3888000,0.0,0.0
2017-03-09,34.267,34.504,34.096,34.284,2007400,0.0,0.0
2017-03-10,34.325,34.627,34.21,34.423,2301300,0.0,0.0
2017-03-13,34.521,34.619,34.243,34.292,3139800,0.0,0.0
2017-03-14,34.292,34.431,34.096,34.325,2593700,0.0,0.0
2017-03-15,34.553,34.659,34.21,34.48,2210400,0.0,0.0
2017-03-16,34.488,34.659,34.316,34.463,3181200,0.0,0.0
2017-03-17,34.504,34.651,34.349,34.349,4226200,0.0,0.0
2017-03-20,34.463,34.553,34.243,34.259,2330200,0.0,0.0
2017-03-21,34.308,34.374,33.353,33.41,2917900,0.0,0.0
2017-03-22,33.459,33.541,33.181,33.467,2597400,0.0,0.0
2017-03-23,33.451,33.72,33.312,33.402,3417300,0.0,0.0
2017-03-24,33.688,33.973,33.238,33.385,2686500,0.0,0.0
2017-03-27,33.091,33.573,32.912,33.402,2538900,0.0,0.0
