Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,39.442,39.571,39.02,39.52,2226400,0.0,0.0
2017-01-04,39.622,40.305,39.536,39.86,2778200,0.0,0.0
2017-01-05,39.86,39.962,39.125,39.766,4016200,0.0,0.0
2017-01-06,39.645,40.313,39.551,40.219,1869200,0.0,0.0
2017-01-09,40.223,40.497,39.579,39.618,2010200,0.0,0.0
2017-01-10,39.485,39.743,39.114,39.493,1858600,0.0,0.0
2017-01-11,39.438,40.063,39.391,39.911,2938400,0.0,0.0
2017-01-12,39.915,40.212,39.579,39.797,1613600,0.0,0.0
2017-01-13,39.7,39.989,39.536,39.77,1272000,0.0,0.0
2017-01-17,39.856,40.438,39.735,40.407,1543400,0.0,0.0
2017-01-18,40.446,40.739,40.411,40.556,2030800,0.0,0.0
2017-01-19,40.493,40.493,39.77,39.891,1480400,0.0,0.0
2017-01-20,39.946,40.231,39.704,40.032,1579800,0.0,0.0
2017-01-23,40.102,40.438,39.852,39.938,2415400,0.0,0.0
2017-01-24,39.899,40.208,39.809,40.122,2457800,0.0,0.0
2017-01-25,40.114,40.13,39.7,40.083,2026800,0.0,0.0
2017-01-26,40.012,40.255,39.704,39.969,1690800,0.0,0.0
2017-01-27,40.087,40.091,39.516,39.641,1152200,0.0,0.0
2017-01-30,39.774,39.774,38.965,39.399,2303200,0.0,0.0
2017-01-31,39.442,40.059,39.328,40.012,1895200,0.0,0.0
2017-02-01,39.7,39.946,39.387,39.633,1362000,0.0,0.0
2017-02-02,39.7,40.157,39.391,40.141,1274000,0.0,0.0
2017-02-03,40.239,40.341,40.11,40.169,1143600,0.0,0.0
2017-02-06,40.251,40.36,39.844,40.094,923800,0.0,0.0
2017-02-07,40.114,40.235,39.895,40.075,1066600,0.0,0.0
2017-02-08,40.055,40.81,40.055,40.724,1591600,0.0,0.0
2017-02-09,40.751,40.892,40.446,40.505,1502200,0.0,0.0
2017-02-10,40.388,40.845,40.388,40.778,1264400,0.0,0.0
2017-02-13,40.794,41.118,40.755,41.095,1076600,0.0,0.0
2017-02-14,40.939,41.099,40.567,40.77,1153400,0.0,0.0
2017-02-15,40.384,40.786,40.325,40.767,1381600,0.0,0.0
2017-02-16,40.856,41.392,40.817,41.384,1324200,0.0,0.0
2017-02-17,41.388,41.478,40.985,41.364,1787400,0.0,0.0
2017-02-21,41.275,41.704,41.15,41.611,1555200,0.0,0.0
2017-02-22,41.669,42.037,41.505,41.873,1274600,0.0,0.0
2017-02-23,42.06,42.642,41.939,42.404,1842000,0.0,0.0
2017-02-24,42.349,42.724,42.349,42.631,2165600,0.0,0.0
2017-02-27,42.631,42.635,42.334,42.521,1759200,0.0,0.0
2017-02-28,42.638,43.357,42.466,43.1,4115800,0.0,0.0
2017-03-01,42.932,43.24,42.49,42.849,2365200,0.0,0.0
2017-03-02,42.705,43.096,42.58,42.889,2304800,0.0,0.0
2017-03-03,42.916,42.916,42.338,42.685,1542200,0.0,0.0
2017-03-06,42.572,42.971,42.451,42.963,2067000,0.0,0.0
2017-03-07,42.904,43.385,42.799,43.213,2245400,0.0,0.0
2017-03-08,42.709,42.892,42.306,42.377,1717400,0.0,0.0
2017-03-09,42.408,42.748,42.162,42.224,1512400,0.0,0.0
2017-03-10,42.56,42.806,42.338,42.752,1624200,0.0,0.0
2017-03-13,42.752,42.955,42.623,42.892,1291800,0.0,0.0
2017-03-14,42.697,42.932,42.537,42.658,1048800,0.0,0.0
2017-03-15,42.853,43.701,42.775,43.467,1833200,0.0,0.0
2017-03-16,43.596,43.596,42.857,43.049,1582200,0.0,0.0
2017-03-17,43.158,43.576,43.143,43.283,2722800,0.0,0.0
2017-03-20,43.342,43.475,42.908,43.139,1803000,0.0,0.0
2017-03-21,43.171,43.931,43.006,43.805,2004000,0.412,0.0
2017-03-22,43.947,44.321,43.856,44.073,2208600,0.0,0.0
2017-03-23,44.108,44.522,43.778,43.931,1953400,0.0,0.0
2017-03-24,43.951,44.408,43.86,44.282,1880200,0.0,0.0
2017-03-27,44.187,44.549,43.801,43.939,1539800,0.0,0.0
2017-03-28,43.9,44.167,43.833,44.124,1573800,0.0,0.0
2017-03-29,44.002,44.097,43.742,43.813,1624400,0.0,0.0
2017-03-30,43.62,43.656,43.345,43.4,1772400,0.0,0.0
2017-03-31,43.345,43.766,43.345,43.506,2542600,0.0,0.0
2017-04-03,43.498,43.616,42.978,43.254,2602800,0.0,0.0
2017-04-04,43.305,43.644,43.199,43.459,1716800,0.0,0.0
2017-04-05,43.506,43.565,42.467,43.089,4966000,0.0,0.0
2017-04-06,43.018,43.254,42.797,43.211,2863400,0.0,0.0
2017-04-07,43.301,43.671,43.156,43.183,2679000,0.0,0.0
2017-04-10,43.183,43.652,43.057,43.565,2214200,0.0,0.0
2017-04-11,43.506,43.644,43.207,43.498,1584200,0.0,0.0
2017-04-12,43.341,43.9,43.282,43.884,1898600,0.0,0.0
2017-04-13,43.841,44.089,43.652,43.9,1969600,0.0,0.0
2017-04-17,43.912,44.199,43.679,44.199,2452200,0.0,0.0
2017-04-18,44.234,44.317,43.982,44.293,2108600,0.0,0.0
2017-04-19,44.246,44.415,43.789,43.9,3090400,0.0,0.0
2017-04-20,43.9,44.4,43.408,44.211,4763600,0.0,0.0
2017-04-21,44.234,44.601,44.219,44.301,2943800,0.0,0.0
2017-04-24,44.388,44.742,44.085,44.608,2701400,0.0,0.0
2017-04-25,44.455,44.758,44.4,44.73,1798600,0.0,0.0
2017-04-26,44.51,44.86,44.455,44.486,2030800,0.0,0.0
2017-04-27,44.451,44.868,44.451,44.652,2000200,0.0,0.0
2017-04-28,44.62,44.687,44.27,44.498,2465800,0.0,0.0
2017-05-01,44.565,44.636,43.86,44.014,2088400,0.0,0.0
2017-05-02,44.089,44.23,43.919,44.152,1314000,0.0,0.0
2017-05-03,44.053,44.246,43.837,43.868,1370800,0.0,0.0
2017-05-04,43.715,43.959,43.597,43.849,1798400,0.0,0.0
2017-05-05,44.049,44.211,43.943,44.156,2529400,0.0,0.0
2017-05-08,44.128,44.246,43.884,44.073,2085000,0.0,0.0
